3668

(-0.099999, -0.309013, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.095999, -0.297038, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.091999, -0.285015, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.087999, -0.272948, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.083999, -0.260838, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.079999, -0.248686, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.075999, -0.236495, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.071999, -0.224267, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.067999, -0.212003, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.063999, -0.199706, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.059999, -0.187377, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.055999, -0.175019, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.051999, -0.162633, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.047999, -0.150221, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.043999, -0.137786, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.039999, -0.125329, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.035999, -0.112852, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.031999, -0.100358, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.027999, -0.087847, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.023999, -0.075323, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.019999, -0.062786, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.015999, -0.050240, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.011999, -0.037686, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
